epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1275.43,0.48856,0.3186,0.81098,0.98523,0.9766,0.99309,0.92785,0.37573,0.26926,0.72621,0.005743,0.005743,0.005743
45,1304.25,0.46572,0.30449,0.80919,0.9939,0.99379,0.99484,0.93979,0.34268,0.23523,0.72321,0.005644,0.005644,0.005644
46,1332.96,0.48739,0.31539,0.80974,0.98367,0.98221,0.99473,0.94299,0.34056,0.25696,0.71876,0.005545,0.005545,0.005545
47,1361.68,0.48765,0.31182,0.81257,0.98369,0.98493,0.9943,0.92992,0.3734,0.2592,0.72669,0.005446,0.005446,0.005446
48,1390.56,0.45965,0.29642,0.80753,0.97036,0.97356,0.99435,0.93159,0.36525,0.27774,0.72502,0.005347,0.005347,0.005347
49,1419.4,0.47598,0.30597,0.80931,0.9823,0.96759,0.99013,0.94064,0.33843,0.27387,0.71998,0.005248,0.005248,0.005248
50,1448.2,0.45424,0.29377,0.80762,0.99043,0.9908,0.99465,0.9293,0.37428,0.24403,0.72539,0.005149,0.005149,0.005149
51,1477.33,0.47419,0.30627,0.80916,0.9811,0.98354,0.99406,0.94455,0.32419,0.24091,0.71878,0.00505,0.00505,0.00505
52,1506.35,0.45279,0.29367,0.80688,0.99131,0.98859,0.99472,0.93622,0.35348,0.23452,0.72111,0.004951,0.004951,0.004951
53,1535.2,0.44768,0.29073,0.8063,0.98492,0.98794,0.99357,0.92164,0.39365,0.25082,0.73092,0.004852,0.004852,0.004852
54,1564.11,0.46586,0.30712,0.80897,0.96205,0.94944,0.9828,0.9035,0.43143,inf,0.7397,0.004753,0.004753,0.004753
55,1592.85,0.45774,0.29623,0.80776,0.98845,0.98715,0.99457,0.93375,0.36394,0.24708,0.725,0.004654,0.004654,0.004654
56,1621.62,0.44138,0.28671,0.8058,0.99484,0.99431,0.99487,0.94312,0.34627,0.23465,0.72237,0.004555,0.004555,0.004555
57,1650.45,0.44861,0.29732,0.80567,0.99332,0.99186,0.99465,0.94695,0.3246,0.22355,0.71828,0.004456,0.004456,0.004456
58,1679.19,0.43835,0.28864,0.80566,0.96287,0.95065,0.98227,0.9282,0.34339,inf,0.71996,0.004357,0.004357,0.004357
59,1708.27,0.45699,0.29117,0.8074,0.99195,0.99183,0.99463,0.94856,0.32489,0.22404,0.71925,0.004258,0.004258,0.004258
60,1737.17,0.43919,0.27842,0.80586,0.97738,0.97856,0.99343,0.95134,0.30997,0.24519,0.71641,0.004159,0.004159,0.004159
61,1766.07,0.42292,0.27519,0.80385,0.99716,0.99628,0.99491,0.95632,0.29831,0.20599,0.71316,0.00406,0.00406,0.00406
62,1794.8,0.43002,0.28225,0.80442,0.99135,0.99064,0.99455,0.94217,0.3451,0.22922,0.71856,0.003961,0.003961,0.003961
63,1823.52,0.42616,0.2765,0.80285,0.99499,0.99696,0.99489,0.9541,0.30345,0.20613,0.71479,0.003862,0.003862,0.003862
64,1852.43,0.41112,0.26389,0.80121,0.99646,0.99626,0.99491,0.96228,0.28545,0.20188,0.713,0.003763,0.003763,0.003763
65,1881.27,0.4232,0.27222,0.80373,0.99758,0.9963,0.99493,0.95677,0.3032,0.20308,0.71568,0.003664,0.003664,0.003664
66,1909.96,0.41316,0.27064,0.80198,0.99742,0.99716,0.99486,0.94924,0.31771,0.20607,0.71783,0.003565,0.003565,0.003565
67,1938.81,0.40462,0.25913,0.80042,0.998,0.99828,0.99492,0.96128,0.28816,0.19721,0.71271,0.003466,0.003466,0.003466
68,1967.5,0.40486,0.26577,0.79975,0.993,0.99297,0.99463,0.96112,0.27586,0.20062,0.71099,0.003367,0.003367,0.003367
69,1996.34,0.4042,0.26311,0.79913,0.97978,0.97213,0.99286,0.94692,0.32424,0.25426,0.71702,0.003268,0.003268,0.003268
70,2025.25,0.41115,0.2624,0.80141,0.98989,0.9902,0.99485,0.95368,0.30065,0.21166,0.71417,0.003169,0.003169,0.003169
71,2053.97,0.39678,0.2519,0.79927,0.99531,0.99544,0.99462,0.9582,0.29294,0.19926,0.71225,0.00307,0.00307,0.00307
