epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1095.12,0.41914,0.25844,0.81968,0.99539,0.99621,0.99346,0.94707,0.34611,0.21873,0.82522,0.005743,0.005743,0.005743
45,1119.51,0.41273,0.26185,0.82149,0.99345,0.99509,0.99385,0.9471,0.33974,0.22003,0.82589,0.005644,0.005644,0.005644
46,1143.9,0.40649,0.25632,0.81776,0.99588,0.99602,0.99322,0.95512,0.30927,0.20211,0.82123,0.005545,0.005545,0.005545
47,1168.47,0.40614,0.25299,0.81991,0.99495,0.99574,0.99317,0.94997,0.33636,0.21103,0.82826,0.005446,0.005446,0.005446
48,1193.02,0.4059,0.2543,0.81946,0.99548,0.99535,0.99357,0.92499,0.40107,0.23091,0.84626,0.005347,0.005347,0.005347
49,1217.55,0.41441,0.25604,0.81998,0.99562,0.9958,0.99343,0.9458,0.34584,0.20568,0.82878,0.005248,0.005248,0.005248
50,1242.58,0.41111,0.25274,0.81949,0.99588,0.99605,0.99362,0.94898,0.33494,0.20701,0.82691,0.005149,0.005149,0.005149
51,1267.38,0.39299,0.24341,0.81387,0.99627,0.99596,0.99374,0.95589,0.30766,0.19665,0.82023,0.00505,0.00505,0.00505
52,1292.11,0.39335,0.2473,0.8153,0.99449,0.99432,0.9936,0.95507,0.31301,0.20374,0.82366,0.004951,0.004951,0.004951
53,1317.13,0.40121,0.24731,0.81637,0.9959,0.99632,0.99332,0.95424,0.32137,0.19964,0.82373,0.004852,0.004852,0.004852
54,1341.91,0.39796,0.24892,0.81547,0.99583,0.99611,0.99381,0.94629,0.33545,0.20302,0.83075,0.004753,0.004753,0.004753
55,1366.49,0.39,0.24867,0.81387,0.99627,0.99637,0.99332,0.95154,0.3301,0.20087,0.82748,0.004654,0.004654,0.004654
56,1391.28,0.37954,0.24052,0.81302,0.99575,0.99646,0.99407,0.96393,0.29319,0.19276,0.82001,0.004555,0.004555,0.004555
57,1415.93,0.41071,0.25149,0.8201,0.9944,0.99475,0.9938,0.93196,0.37352,0.22638,0.83998,0.004456,0.004456,0.004456
58,1440.82,0.39112,0.24479,0.81446,0.99536,0.99464,0.99365,0.957,0.30012,0.19465,0.819,0.004357,0.004357,0.004357
59,1465.3,0.37999,0.24249,0.81445,0.9959,0.99577,0.99378,0.94933,0.32516,0.20292,0.82633,0.004258,0.004258,0.004258
60,1490.05,0.38102,0.23943,0.81214,0.99602,0.99615,0.99372,0.96361,0.29239,0.19132,0.81938,0.004159,0.004159,0.004159
61,1514.78,0.38549,0.23879,0.8145,0.99591,0.99604,0.99341,0.9695,0.27334,0.18618,0.81301,0.00406,0.00406,0.00406
62,1539.54,0.38221,0.24149,0.81459,0.99625,0.99616,0.99375,0.95217,0.32232,0.19485,0.82708,0.003961,0.003961,0.003961
63,1564.39,0.37032,0.2359,0.81141,0.99598,0.9962,0.99387,0.96245,0.30045,0.1879,0.81782,0.003862,0.003862,0.003862
64,1589.14,0.36934,0.23421,0.81167,0.99604,0.99624,0.99322,0.96069,0.29898,0.18434,0.82054,0.003763,0.003763,0.003763
65,1613.62,0.35961,0.22826,0.80776,0.99606,0.99601,0.99351,0.96556,0.29281,0.18267,0.8169,0.003664,0.003664,0.003664
